0,1,2,3,4,5,6,7,8
https://twitter.com/LuturmasWidia/status/1242238571492204544,2020-03-23 23:55:29+00:00,"Syariah Dan khilafah solusi komperehensif wabah corona
 &gt;&gt; #MalapetakaRuntuhnyaKhilafah &lt;&lt;
 #TergagapCorona . #RajabanBersamaKhilafah
#E3JJ

@Class062",1242238571492204544,LuturmasWidia,[],,[],
https://twitter.com/Zainudd67804005/status/1242238532023799808,2020-03-23 23:55:20+00:00,"Ada dua virus yang sedang mewabah di negri ini , virus Corona dan virus BUZZERrp .
Dua-duanya mematikan .",1242238532023799808,Zainudd67804005,[],,[],
https://twitter.com/sbyfess/status/1242238477883682817,2020-03-23 23:55:07+00:00,"-cak info tukang bangunan? 
 gawe mbangun smngat ku seng ambyar gara² lanangan 

-canda y gais biar g corona terus wgwg",1242238477883682817,sbyfess,[],,[],
https://twitter.com/shabrinaabnfe/status/1242238476759650305,2020-03-23 23:55:07+00:00,"Andai gada Corona, mungkin aku teh udah bebas sama UN:(",1242238476759650305,shabrinaabnfe,[],,[],
https://twitter.com/4sehat5balbalan/status/1242238475023159296,2020-03-23 23:55:06+00:00,"Efek corona, bakul sayur keliling sambat. Pasokan sayur seko tw menipis ~",1242238475023159296,4sehat5balbalan,[],,[],
https://twitter.com/Fajrinnau_/status/1242238472728928256,2020-03-23 23:55:06+00:00,"dampak corona
1.un diundur
2.utbk diundur
3.un diapus
selanjutnya
4.utbk diapus
5.semua org gapyear",1242238472728928256,Fajrinnau_,[],,[],
https://twitter.com/rripro2tpi/status/1242238422170787840,2020-03-23 23:54:54+00:00,"16 Provinsi di Indonesia minta UN SMA diundur karena virus Corona, kamu SETUJU / GAK nih? 

Jawab + request lagu 
#SemangatPagi #CakraXHaelDiMLC",1242238422170787840,rripro2tpi,[],,[],
https://twitter.com/ekounboongan/status/1242238272346062848,2020-03-23 23:54:18+00:00,Sebelum corona juga gua udah self distancing,1242238272346062848,ekounboongan,[],,[],
https://twitter.com/suarna96/status/1242238262455848962,2020-03-23 23:54:16+00:00,"Scuat rebahan makin banyak 
Karena CORONA.",1242238262455848962,suarna96,[],,[],
https://twitter.com/heygukguk/status/1242238257837957127,2020-03-23 23:54:14+00:00,"""Bersatu kita runtuh, bercerai kita teguh!""
Ehmm Corona.",1242238257837957127,heygukguk,[],,[],
