word,score,sentiment
kelangkaan,-2,neg
kelaparan,-4,neg
kelebihan,3,pos
keledai,-2,neg
kelelahan,-2,neg
kelemahan,-3,neg
keletihan,-1,neg
keliru,-3,neg
keluar,-3,neg
kelumpuhan,-4,neg
kemacetan,-4,neg
kemahalan,-4,neg
kemakmuran,5,pos
kemalangan,-4,neg
kemalasan,-4,neg
kemarahan,-4,neg
kematian,-3,neg
kembali,-1,neg
kemenangan,4,pos
kemerosotan,-4,neg
kemiskinan,-3,neg
kemudahan,3,pos
kemuliaan,4,pos
kemunafikan,-5,neg
kemunduran,-4,neg
kemurkaan,-4,neg
kenakalan,-4,neg
kencing,-3,neg
kendala,-4,neg
kenyamanan,4,pos
kepalsuan,-4,neg
keparahan,-4,neg
keparat,-5,neg
kepercayaan,4,pos
kepo,-3,neg
kepuasan,4,pos
kepura-puraan,-4,neg
kerahasiaan,-1,neg
keramahan,4,pos
keras,-3,neg
kere,-5,neg
keren,4,pos
keren-keren,4,pos
kerennya,4,pos
kerepotan,-3,neg
keributan,-3,neg
kerikil,-1,neg
kerinduan,3,pos
keriuhan,-2,neg
kerugian,-4,neg
keruh,-4,neg
kerumitan,-3,neg
kerusakan,-4,neg
kerusuhan,-4,neg
kerut,-2,neg
kesakitan,-2,neg
kesalahan,-3,neg
kesan,3,pos
kesanggupan,3,pos
kesannya,-3,neg
kesedihan,-2,neg
kesejukan,3,pos
keseleo,-2,neg
kesembronoan,-3,neg
keserakahan,-5,neg
keseriusan,4,pos
keseruan,3,pos
kesetiaan,4,pos
kesia-siaan,-4,neg
kesiapan,3,pos
kesombongan,-5,neg
kesukaan,3,pos
kesukaran,-3,neg
kesuksesan,4,pos
kesulitan,-3,neg
kesuraman,-3,neg
kesusahan,-4,neg
ketakutan,-4,neg
ketangguhan,4,pos
ketat,-2,neg
ketegangan,-3,neg
ketenaran,2,pos
keterbatasan,-3,neg
keterbelakangan,-4,neg
keterbukaan,4,pos
keterlaluan,-3,neg
keterlibatan,-2,neg
ketidakbenaran,-4,neg
ketidakjujuran,-4,neg
ketidakjujuranmu,-4,neg
ketidakmampuan,-3,neg
ketidaknyamanan,-3,neg
ketidakpedulian,-4,neg
ketidakpercayaan,-4,neg
ketidakpuasan,-3,neg
ketidaksamaan,-2,neg
ketidaksenangan,-3,neg
ketidakstabilan,-4,neg
ketidaktaatan,-4,neg
ketidaktelitian,-4,neg
ketidaktepatan,-4,neg
ketidaktertarikan,-3,neg
keunggulan,4,pos
kewajiban,2,pos
kezaliman,-4,neg
khas,4,pos
khusus,-1,neg
khusyuk,4,pos
kikir,-4,neg
kikuk,-2,neg
klik,1,pos
kloningan,-2,neg
knalpot,-1,neg
koar,-4,neg
koar-koar,-4,neg
kocok,-1,neg
kok,-2,neg
kokoh,4,pos
kolusi,-4,neg
kombatan,-3,neg
komedi,4,pos
komit,4,pos
kompak,3,pos
kompatible,4,pos
komplikasi,-4,neg
konflik,-4,neg
konsisten,4,pos
konspirasi,-4,neg
konspirator,-4,neg
konsumtif,-4,neg
kontaminan,-3,neg
kontroversi,-4,neg
konyol,-4,neg
korban,-3,neg
korosi,-2,neg
korosif,-2,neg
korup,-4,neg
korupsi,-4,neg
kotor,-3,neg
kotoran,-4,neg
kram,-2,neg
kreatif,4,pos
kresek,-1,neg
krisis,-3,neg
kritik,-1,neg
kritikan,-2,neg
kritikus,-1,neg
kritis,4,pos
kronis,-4,neg
kuat,4,pos
kuburan,-2,neg
kukira,-3,neg
kuman,-3,neg
kuno,-1,neg
kurang,-2,neg
kurangi,-1,neg
kurungan,-3,neg
kurus,-3,neg
kusam,-3,neg
kutukan,-4,neg
kuyu,-3,neg
kw,-4,neg
laba,3,pos
labil,-4,neg
laku,3,pos
lalai,-3,neg
lama,-2,neg
lamban,-2,neg
lambat,-3,neg
lampiran,1,pos
langka,4,pos
laporkan,-2,neg
lawan,-2,neg
layak,4,pos
layu,-3,neg
ledakan,-3,neg
lega,4,pos
lelah,-2,neg
lelucon,-2,neg
lemah,-3,neg
lemak,-3,neg
lemas,-3,neg
lembut,4,pos
lendir,-3,neg
lenyap,-3,neg
letih,-2,neg
lezat,4,pos
liar,-3,neg
licik,-4,neg
likuidasi,-1,neg
limbah,-4,neg
linglung,-4,neg
lintas,-1,neg
lipsync,-4,neg
logis,4,pos
lokalan,-2,neg
lucu,4,pos
luka,-3,neg
lumayan,2,pos
lumpuh,-3,neg
lumrah,-2,neg
lusuh,-3,neg
mabuk,-5,neg
mahal,-3,neg
maju,4,pos
maki-maki,-4,neg
makmur,4,pos
maksa,-4,neg
malaikat,4,pos
malang,-3,neg
malapetaka,-4,neg
malas,-4,neg
malu,-3,neg
malu-maluin,-4,neg
mampu,4,pos
mana,-4,neg
manfaat,4,pos
mangkal,-3,neg
maniak,-4,neg
manipulasi,-3,neg
manis,4,pos
manisnya,4,pos
manja,-2,neg
mantab,4,pos
mantap,4,pos
manusiawi,3,pos
marah,-4,neg
marjinal,-3,neg
martir,-3,neg
masalah,-4,neg
masochis,-3,neg
mati,-3,neg
megah,1,pos
melalaikan,-3,neg
melanda,-3,neg
melanggar,-4,neg
melankolis,-2,neg
melarang,-3,neg
melawan,1,pos
melecehkan,-4,neg
meledak,-4,neg
melelahkan,-3,neg
melemahkan,-3,neg
melempem,-3,neg
melengking,-1,neg
melengserkan,-4,neg
melenyapkan,-4,neg
melepaskan,-1,neg
melepuh,-2,neg
meleset,-3,neg
melet,-4,neg
melibatkan,-1,neg
melikuidasi,-2,neg
melilit,-3,neg
melimpah,3,pos
melimpahi,2,pos
melodramatis,-3,neg
melucu,2,pos
melucuti,-2,neg
melukai,-4,neg
melulu,-3,neg
melumpuhkan,-4,neg
melumuri,-1,neg
meluncur,1,pos
memaafkan,4,pos
memabukkan,-4,neg
memadai,3,pos
memadamkan,3,pos
memainkan,3,pos
memaksa,-4,neg
memaksakan,-4,neg
memalukan,-4,neg
memanjakan,-3,neg
memar,-3,neg
memarahi,-4,neg
memasang,1,pos
mematikan,-2,neg
membahayakan,-4,neg
membajak,-3,neg
membakar,-4,neg
membalas,-2,neg
membanding-bandingkan,-3,neg
membandingkan,-3,neg
membandingkannya,-3,neg
membanggakan,4,pos
membanjiri,-3,neg
membantah,-3,neg
membanting,-3,neg
membantu,4,pos
membasmi,-3,neg
membatalkan,-3,neg
membatasi,-3,neg
membenci,-4,neg
membengkokkan,-3,neg
membentak,-4,neg
memberhentikan,-2,neg
memberikan,3,pos
memberkati,3,pos
membingungkan,-3,neg
membisingkan,-3,neg
membongkar,-2,neg
membosankan,-3,neg
membual,-4,neg
membuang,-3,neg
membuktikan,2,pos
membully,-4,neg
membunuh,-4,neg
membusuk,-4,neg
membutuhkan,2,pos
memecah,-4,neg
memecahkan,-2,neg
memek,-4,neg
memekik,-2,neg
memeluk,4,pos
memenangkan,4,pos
memenjarakan,-4,neg
memfitnah,-4,neg
memikat,4,pos
meminta-minta,-4,neg
memisahkan,-3,neg
memohon,-2,neg
memperbudak,-4,neg
memperingati,4,pos
memperingatkan,3,pos
memperkosa,-5,neg
memperkuat,4,pos
memperlambat,-3,neg
mempermalukan,-4,neg
mempermasalahkan,-3,neg
mempersulit,-4,neg
mempopulerkan,3,pos
memprovokasi,-4,neg
memuaskan,3,pos
memudar,-3,neg
memuja,-2,neg
memukau,4,pos
memukul,-4,neg
memuliakan,3,pos
memuntahkan,-3,neg
memusnahkan,-4,neg
memutuskan,-2,neg
menafikan,-3,neg
